"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E15",48,"E",15,0.21130174291939,0.211764705882353,0.223529411764706,30.4274509803922,144,0,"",NA
"E15",49,"E",15,0.219335511982571,0.219607843137255,0.235294117647059,31.5843137254902,144,0,"",NA
"E15",50,"E",15,0.229084967320261,0.227450980392157,0.243137254901961,32.9882352941177,144,0,"",NA
"E15",51,"E",15,0.239869281045752,0.23921568627451,0.258823529411765,34.5411764705882,144,0,"",NA
"E15",52,"E",15,0.250108932461874,0.250980392156863,0.262745098039216,36.0156862745098,144,0,"",NA
"E15",53,"E",15,0.260239651416122,0.258823529411765,0.27843137254902,37.4745098039216,144,0,"",NA
"E15",54,"E",15,0.268872549019608,0.266666666666667,0.286274509803922,38.7176470588235,144,0,"",NA
"E15",55,"E",15,0.278622004357299,0.27843137254902,0.294117647058824,40.121568627451,144,0,"",NA
"E15",56,"E",15,0.289460784313726,0.290196078431373,0.301960784313725,41.6823529411765,144,0,"",NA
"E15",57,"E",15,0.299809368191721,0.298039215686275,0.313725490196078,43.1725490196078,144,0,"",NA
"E15",58,"E",15,0.30718954248366,0.305882352941176,0.32156862745098,44.2352941176471,144,0,"",NA
"E15",59,"E",15,0.316503267973856,0.317647058823529,0.333333333333333,45.5764705882353,144,0,"",NA
"E15",60,"E",15,0.3239651416122,0.325490196078431,0.349019607843137,46.6509803921569,144,0,"",NA
"E15",61,"E",15,0.330392156862745,0.329411764705882,0.349019607843137,47.5764705882353,144,0,"",NA
"E16",0,"E",16,0.0864106753812636,0.0862745098039216,0.0941176470588235,12.443137254902,144,0,"",NA
"E16",1,"E",16,0.084776688453159,0.0862745098039216,0.0941176470588235,12.2078431372549,144,0,"",NA
"E16",2,"E",16,0.0839052287581699,0.0823529411764706,0.0941176470588235,12.0823529411765,144,0,"",NA
"E16",3,"E",16,0.0843137254901961,0.0823529411764706,0.0901960784313725,12.1411764705882,144,0,"",NA
"E16",4,"E",16,0.084177559912854,0.0823529411764706,0.0901960784313725,12.121568627451,144,0,"",NA
"E16",5,"E",16,0.0838235294117647,0.0823529411764706,0.0941176470588235,12.0705882352941,144,0,"",NA
"E16",6,"E",16,0.0837145969498911,0.0823529411764706,0.0941176470588235,12.0549019607843,144,0,"",NA
"E16",7,"E",16,0.0839052287581699,0.0823529411764706,0.0901960784313725,12.0823529411765,144,0,"",NA
"E16",8,"E",16,0.0842320261437908,0.0823529411764706,0.0941176470588235,12.1294117647059,144,0,"",NA
"E16",9,"E",16,0.0843409586056645,0.0823529411764706,0.0901960784313725,12.1450980392157,144,0,"",NA
"E16",10,"E",16,0.0842592592592593,0.0823529411764706,0.0941176470588235,12.1333333333333,144,0,"",NA
"E16",11,"E",16,0.0847222222222222,0.0862745098039216,0.0901960784313725,12.2,144,0,"",NA
"E16",12,"E",16,0.0853485838779956,0.0862745098039216,0.0941176470588235,12.2901960784314,144,0,"",NA
